油桃,AF03001004
李子,AF03002
布朗,AF03002001
杏子,AF03003
梅子,AF03004
樱桃,AF03005
枣,AF03006
冬枣,AF03006001
红枣,AF03006002
金丝枣,AF03006003
菱枣,AF03006004
大枣,AF03006005
青枣,AF03006006
橄榄,AF03007
核桃,AF04001
核桃(新温179),AF04001001
核桃(新温185),AF04001002
核桃(新早丰),AF04001003
核桃(杂343),AF04001004
板栗,AF04002
榛子,AF04003
松子,AF04004
白果,AF04005
开心果,AF04006
杏仁,AF04007
腰果,AF04008
巴西果,AF04009
巴旦杏,AF04010
夏威夷果,AF04011
槟榔,AF04012
香榧,AF04013
橘、柑,AF05001
蜜桔,AF05001001
年桔,AF05001002
芦柑,AF05001003
砂糖橘,AF05001004
蕉柑,AF05001005
椪柑,AF05001006
橙子,AF05001007
广柑,AF05001008
脐橙,AF05001009
甜橙,AF05002
柚子,AF05003
常山胡柚,AF05003001
沙田柚,AF05003002
四季柚,AF05003003
葡萄柚,AF05004
柠檬,AF05005
香蕉,AF06001
菠萝,AF06002
荔枝,AF06003
荔枝(桂味),AF06003001
荔枝(妃子笑),AF06003002
荔枝(黑叶),AF06003003
荔枝(三月红),AF06003004
荔枝(白腊),AF06003005
荔枝(怀枝),AF06003006
龙眼(桂圆),AF06004
龙眼(石硖),AF06004001
龙眼(储良),AF06004002
龙眼(乌圆),AF06004003
芒果,AF06005
金龙芒,AF06005001
象牙芒,AF06005002
芒果(金煌芒),AF06005003
田阳香芒,AF06005004
芒果(红象牙9号),AF06005005
芒果(象牙22号),AF06005006
芒果(农院3号),AF06005007
芒果(农院5号),AF06005008
芒果(桂叶),AF06005009
芒果(金穗),AF06005010
芒果(土芒),AF06005011
芒果(台农一号),AF06005012
芒果(红贵妃）,AF06005013
芒果(台芽),AF06005014
木瓜,AF06006
火龙果,AF06007
番石榴,AF06008
红毛丹,AF06009
榴莲,AF06010
莲雾,AF06011
枇杷,AF06012
西番莲,AF06013
人参果,AF06014
山竹,AF06015
杨梅,AF06016
杨桃,AF06017
椰枣,AF06018
椰子,AF06019
菠萝蜜,AF06020
西瓜,AF07001
早春红玉瓜,AF07001001
特小凤西瓜,AF07001002
黑美人西瓜,AF07001003
麒麟西瓜,AF07001004
京欣西瓜,AF07001005
甜瓜,AF07002
伊丽沙白瓜,AF07002001
中华蜜宝,AF07002002
华兰氏瓜,AF07002003
红城十甜瓜,AF07002004
网纹瓜,AF07002005
香瓜,AF07002006
黄金瓜,AF07002007
黄河蜜,AF07002008
白糖罐甜瓜,AF07002009
伽师瓜,AF07002010
厚皮甜瓜,AF07002011
哈密瓜,AF07003
其他果品,AF99999
枸杞子,AI07055
枸杞特级,AI07055001
枸杞一级,AI07055002
枸杞二级,AI07055003
枸杞三级,AI07055004
罗汉果,AI07064
其他药材,AI11999
一级豆油(散装),AJ01001
花生油,AJ01002
葵花油,AJ01003
香油,AJ01004
玉米油,AJ01005
棕榈油,AJ01006
菜油(散装),AJ01007
棉籽油,AJ01008
椰子油,AJ01009
亚麻油,AJ01010
红花籽油,AJ01011
茶籽油,AJ01012
橄榄油,AJ01013
苏籽油,AJ01014
米糠油,AJ01015
起酥油,AJ01016
色拉油,AJ01017
调和油,AJ01018
蓖麻油,AJ02001
猪,AL01001
毛猪,AL01001001
仔猪,AL01001002
肥猪,AL01001003
本地土杂,AL01001004
家养土猪,AL01001005
良种猪,AL01001006
猪肉,AL01002
猪肉(白条猪),AL01002001
猪颈背肌肉,AL01002002
猪前腿肌肉,AL01002003
猪后腿肌肉,AL01002004
猪大排肌肉,AL01002005
猪肉制品,AL01003
猪副产品,AL01004
猪肚,AL01004001
猪肾,AL01004002
猪肝,AL01004003
猪心,AL01004004
猪肺,AL01004005
猪小肠,AL01004006
猪大肠,AL01004007
肥膘,AL01004008
牛,AL01005
架子牛,AL01005001
西门塔尔牛(500斤左右),AL01005002
夏洛来牛(500斤左右),AL01005003
科尔沁黄牛,AL01005004
基础母牛(500斤左右),AL01005005
肉牛,AL01005006
牦牛,AL01005007
黄牛,AL01005008
水牛,AL01005009
育肥牛,AL01005010
牛肉,AL01006
牛肉制品,AL01007
牛副产品,AL01008
羊,AL01009
肉羊,AL01009001
山羊,AL01009002
山母羊,AL01009003
山羯羊,AL01009004
绵羊,AL01009005
羊肉,AL01010
羊肉制品,AL01011
羊副产品,AL01012
马,AL01013
耕马,AL01013001
肉马,AL01013002
役马,AL01013003
马肉,AL01014
马肉制品,AL01015
马副产品,AL01016
驴,AL01017
耕驴,AL01017001
活驴,AL01017002
驴肉,AL01018
驴肉制品,AL01019
驴行家驴肉布丁,AL01019001
驴行家阿胶驴肉,AL01019002
驴行家闹汤驴肉,AL01019003
驴副产品,AL01020
驴板肠,AL01020001
骡子,AL01021
耕骡,AL01021001
鸡苗,AL02001
黄杂鸡苗,AL02001001
三黑鸡苗,AL02001002
肉鸡苗,AL02001003
活鸡,AL02001005
三黄鸡,AL02001006
三黄公鸡,AL02001007
黄花母鸡,AL02001008
黄花公鸡,AL02001009
麻花母鸡,AL02001010
麻花公鸡,AL02001011
882母鸡,AL02001012
882公鸡,AL02001013
文昌肥鸡,AL02001014
老母鸡,AL02001015
白条鸡,AL02001016
乌骨凤鸡,AL02001017
柴鸡,AL02001018
乌鸡,AL02001019
鸡肉,AL02002
鸡肉制品,AL02003
鸡副产品,AL02004
鸭苗,AL02005
四川麻鸭苗,AL02005001
大白沙苗,AL02005002
杂交鸭苗,AL02005003
活鸭,AL02005005
鸭肉,AL02006
鸭肉制品,AL02007
鸭副产品,AL02008
鹅苗,AL02009
隆昌白鹅苗,AL02009001
活鹅,AL02009002
鹅肉,AL02010
鹅肉制品,AL02011
鹅副产品,AL02012
活兔,AL03003
赤免干>250g,AL03003001
赤免干<250g,AL03003002
或肉干（中）,AL03003003
真三牙干（150-250g）,AL03003004
或肉干（50g以上）,AL03003005
真三牙干（大于250g）,AL03003006
水貂,AL03004
火鸡,AL03007
鹌鹑,AL03008
鸽,AL03009
雉鸡,AL03010
野鸭,AL03011
珍珠鸡,AL03012
蜜蜂,AL03013
鸡蛋,AL05001
红皮鸡蛋,AL05001001
白皮鸡蛋,AL05001002
再制蛋类,AL05001003
蛋类罐头,AL05001004
蛋制品类,AL05001005
鸭蛋,AL05002
鹅蛋,AL05003
鹌鹑蛋,AL05004
其它蛋,AL05999
牛皮,AL06001
猪皮,AL06002
羊皮,AL06003
马皮,AL06004
驴皮,AL06005
狐狸皮,AL06006
兔皮,AL06009
羊毛,AL06010
羊绒,AL06011
兔毛,AL06012
猪毛,AL06013
马毛,AL06014
其他畜禽产品,AL99999
鲢鱼,AM01001
花鲢活鱼,AM01001001
白鲢活鱼,AM01001002
活草鱼,AM01002
活鲫鱼,AM01003
活鲤鱼,AM01004
青鱼,AM01005
鳊鱼,AM01006
鳃鱼,AM01007
银鱼,AM01008
淡水鲈鱼,AM01009
熟干公鱼,AM01010
观赏鱼,AM01011
桂鱼,AM01012
黑鱼,AM01013
活鳜鱼,AM01013003
鳟鱼,AM01014
虹鳟鱼,AM01014001
鮰鱼,AM01015
峻鱼,AM01016
罗非鱼,AM01017
鳗鱼,AM01018
鳗鱼干,AM01018001
鳗鱼片,AM01018002
鲶鱼,AM01019
养殖鲶鱼,AM01019001
野生鲶鱼,AM01019002
三文鱼,AM01020
鳝鱼,AM01021
白鳝鱼,AM01021001
黄鳝,AM01021002
鲀鱼,AM01022
鲟鱼,AM01023
泥鳅,AM01024
鳢鱼,AM01025
河豚鱼,AM01026
武昌鱼,AM01027
小面条鱼,AM01028
带鱼,AM02001
大带鱼,AM02001001
小带鱼,AM02001002
带鱼干,AM02001009
大黄花鱼,AM02002
小黄花鱼,AM02003
黄鱼,AM02003001
野生大黄鱼,AM02003002
深水网箱大黄鱼,AM02003003
黄姑鱼,AM02004
鲈鱼,AM02005
哲罗鱼,AM02006
青花鱼,AM02007
比目鱼,AM02008
鲳鱼,AM02009
大平鱼,AM02009001
小平鱼,AM02009002
大目鱼,AM02010
白姑鱼,AM02011
鲷鱼,AM02012
海龙,AM02013
海马,AM02014
海鳗,AM02015
水咸黑鲳（250-500g）,AM02015001
水咸黑鲳（>500g）,AM02015002
黑鲳,AM02016
尖吻鲈,AM02017
巴浪鱼,AM02018
尖嘴鱼,AM02019
鲣鱼,AM02020
剑鱼,AM02021
金枪鱼,AM02022
金线鱼,AM02023
鲸鱼,AM02024
连尖鱼,AM02025
连尖,AM02026
加吉鱼,AM02026001
刀里,AM02026002
龙头鱼,AM02027
点火槽,AM02027001
鲅鱼,AM02028
马鲅干,AM02028001
马鲛鱼,AM02029
鮸鱼,AM02030
黄肚仔,AM02030002
平鱼,AM02031
青鳞鱼,AM02032
青鳞干,AM02032001
鲭鱼,AM02033
三牙鱼,AM02034
沙丁鱼,AM02035
鲨鱼,AM02036
石斑鱼,AM02037
醍鱼,AM02038
鳕鱼,AM02039
海豚,AM02040
大马哈鱼,AM02041
真鲷,AM02042
池鱼,AM02043
其它鱼类,AM02999
对虾,AM03001
淡水虾,AM03002
龙虾,AM03003
澳洲龙虾,AM03003001
美洲龙虾,AM03003002
基围虾,AM03004
蛙,AM03006
鳄鱼,AM03007
蛇,AM03008
其它呀虾蟹及两栖类,AM03009
基围虾,AM03009007
甲鱼,AM03016
人工甲鱼,AM03016001
野生甲鱼,AM03016002
进口甲鱼,AM03016003
乌龟,AM03016004
海水蟹,AM03999001
梭子蟹,AM03999002
肉蟹,AM03999003
青蟹,AM03999004
珍宝蟹,AM03999005
黑蟹,AM03999006
江蟹,AM03999007
田鸡,AM03999008
扇贝,AM04001
螺,AM04002
鲍鱼,AM04003
蚌,AM04004
章鱼,AM04005
蛏子,AM04006
蛏子干,AM04006001
蛤蜊,AM04007
海参,AM04008
海胆,AM04009
水母,AM04010
墨鱼,AM04011
牡蛎,AM04012
海蛎,AM04012001
沙蚕,AM04013
蜗牛,AM04014
贻贝,AM04015
淡菜,AM05002
紫菜,AM05009
红三肉干,AM07002
金线片干,AM07011
王线片干,AM07012
熟淡干青公干,AM07013
熟小公干,AM07014
淡公鱼干,AM07015
羊鱼仔肉干,AM07016
蓝圆参干,AM07017
长体蓝圆参干,AM07018
网池干,AM07019
大玉池干,AM07020
水咸蓝点马鲛(2KG以上),AM07021
水咸蓝点马鲛（1-1.5kg）,AM07021001
水咸蓝点马鲛（1.5-2kg）,AM07021002
水咸黑鲳,AM07022
水咸王祥,AM07023
水咸西刀,AM07024
蚝油,AM08001
褐藻酸,AM08002
鱼肝油,AM08003
琼脂,AM08004
褐藻酸钠,AM08005
鱼胶,AM08006
鱼露,AM08007
鱼油,AM08008
海绵,AM08009
甲壳质,AM08010
珊瑚,AM08011
其他水产品,AM99999
